loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_wer,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
5.4924,8.01009464263916,1.074074074074074e-05,1.0,30,,,,,,,,,,
,,,1.0,30,3.07902455329895,100.0,2.5781,17.455,2.327,,,,,
3.1386,16.386886596679688,2.1851851851851852e-05,2.0,60,,,,,,,,,,
,,,2.0,60,2.9565510749816895,100.0,2.5706,17.506,2.334,,,,,
2.6537,16.273696899414062,3.2962962962962964e-05,3.0,90,,,,,,,,,,
,,,3.0,90,2.3061041831970215,98.98550724637681,2.9329,15.343,2.046,,,,,
1.4125,6.497519493103027,4.4074074074074076e-05,4.0,120,,,,,,,,,,
,,,4.0,120,1.319916009902954,75.36231884057972,2.5302,17.785,2.371,,,,,
0.8502,5.080034255981445,4.908496732026144e-05,5.0,150,,,,,,,,,,
,,,5.0,150,1.1782041788101196,65.5072463768116,3.1566,14.256,1.901,,,,,
0.5491,6.831726551055908,4.712418300653595e-05,6.0,180,,,,,,,,,,
,,,6.0,180,1.1723073720932007,60.0,2.5811,17.435,2.325,,,,,
0.4231,8.006635665893555,4.516339869281046e-05,7.0,210,,,,,,,,,,
,,,7.0,210,1.0332202911376953,56.811594202898554,2.5511,17.639,2.352,,,,,
0.3065,1.0484402179718018,4.320261437908497e-05,8.0,240,,,,,,,,,,
,,,8.0,240,1.0956931114196777,56.666666666666664,2.5151,17.892,2.386,,,,,
0.2247,1.9941997528076172,4.124183006535948e-05,9.0,270,,,,,,,,,,
,,,9.0,270,1.0717476606369019,51.449275362318836,2.8162,15.979,2.131,,,,,
0.1812,1.054969072341919,3.9281045751633986e-05,10.0,300,,,,,,,,,,
,,,10.0,300,1.0665134191513062,51.01449275362319,2.6471,17.0,2.267,,,,,
0.1445,7.5690016746521,3.73202614379085e-05,11.0,330,,,,,,,,,,
,,,11.0,330,1.0786850452423096,50.14492753623189,3.1697,14.197,1.893,,,,,
0.1311,1.3931680917739868,3.535947712418301e-05,12.0,360,,,,,,,,,,
,,,12.0,360,1.1618980169296265,48.84057971014493,2.5685,17.52,2.336,,,,,
0.1232,0.3031676411628723,3.3398692810457516e-05,13.0,390,,,,,,,,,,
,,,13.0,390,1.029542326927185,45.072463768115945,2.5958,17.336,2.311,,,,,
0.0855,2.0976688861846924,3.1437908496732024e-05,14.0,420,,,,,,,,,,
,,,14.0,420,1.1552726030349731,45.65217391304348,2.5639,17.551,2.34,,,,,
0.0654,3.633265733718872,2.947712418300654e-05,15.0,450,,,,,,,,,,
,,,15.0,450,1.251701831817627,45.507246376811594,2.5153,17.891,2.385,,,,,
0.0631,0.7367488741874695,2.751633986928105e-05,16.0,480,,,,,,,,,,
,,,16.0,480,1.0831536054611206,44.927536231884055,2.6176,17.191,2.292,,,,,
0.0521,0.08868595957756042,2.5555555555555554e-05,17.0,510,,,,,,,,,,
,,,17.0,510,1.171230673789978,44.34782608695652,2.5912,17.367,2.316,,,,,
0.0609,0.5298979878425598,2.3594771241830065e-05,18.0,540,,,,,,,,,,
,,,18.0,540,1.1212902069091797,42.7536231884058,2.5454,17.679,2.357,,,,,
0.0501,12.508617401123047,2.1633986928104576e-05,19.0,570,,,,,,,,,,
,,,19.0,570,1.1171975135803223,44.78260869565218,2.6402,17.044,2.273,,,,,
0.0405,1.0569357872009277,1.9673202614379084e-05,20.0,600,,,,,,,,,,
,,,20.0,600,1.2175190448760986,43.913043478260875,2.6509,16.975,2.263,,,,,
0.0304,2.7482311725616455,1.7712418300653595e-05,21.0,630,,,,,,,,,,
,,,21.0,630,1.214440107345581,42.46376811594203,2.6284,17.121,2.283,,,,,
0.0174,0.0168443713337183,1.5751633986928106e-05,22.0,660,,,,,,,,,,
,,,22.0,660,1.243504285812378,43.04347826086957,2.8477,15.802,2.107,,,,,
0.0178,2.5960590839385986,1.3790849673202616e-05,23.0,690,,,,,,,,,,
,,,23.0,690,1.2453484535217285,44.34782608695652,2.5774,17.459,2.328,,,,,
0.0111,0.03229883685708046,1.1830065359477125e-05,24.0,720,,,,,,,,,,
,,,24.0,720,1.305416464805603,41.88405797101449,2.5593,17.583,2.344,,,,,
0.0099,0.22279617190361023,9.869281045751634e-06,25.0,750,,,,,,,,,,
,,,25.0,750,1.3190430402755737,41.88405797101449,2.5684,17.521,2.336,,,,,
0.013,0.04302133247256279,7.908496732026144e-06,26.0,780,,,,,,,,,,
,,,26.0,780,1.3113795518875122,42.173913043478265,2.6294,17.114,2.282,,,,,
0.0064,0.021875107660889626,5.947712418300653e-06,27.0,810,,,,,,,,,,
,,,27.0,810,1.330072283744812,41.449275362318836,2.8894,15.574,2.077,,,,,
0.0096,0.018278660252690315,3.9869281045751635e-06,28.0,840,,,,,,,,,,
,,,28.0,840,1.3396849632263184,42.608695652173914,2.4433,18.418,2.456,,,,,
0.0042,0.07263899594545364,2.0261437908496734e-06,29.0,870,,,,,,,,,,
,,,29.0,870,1.3336281776428223,42.608695652173914,2.581,17.435,2.325,,,,,
0.0072,0.15480750799179077,6.5359477124183e-08,30.0,900,,,,,,,,,,
,,,30.0,900,1.3333185911178589,42.608695652173914,2.5725,17.493,2.332,,,,,
,,,30.0,900,,,,,,4078.9679,3.42,0.221,1.0169709785788338e+19,0.5391741186380387
