loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_wer,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
5.1226,17.998031616210938,1.074074074074074e-05,1.0,30,,,,,,,,,,
,,,1.0,30,3.0365405082702637,99.85507246376811,4.3694,10.299,1.373,,,,,
3.1036,19.423595428466797,2.1851851851851852e-05,2.0,60,,,,,,,,,,
,,,2.0,60,2.9975972175598145,100.0,3.7114,12.125,1.617,,,,,
2.4913,21.625959396362305,3.2962962962962964e-05,3.0,90,,,,,,,,,,
,,,3.0,90,1.770379662513733,95.65217391304348,3.1463,14.303,1.907,,,,,
1.3986,38.93513107299805,4.4074074074074076e-05,4.0,120,,,,,,,,,,
,,,4.0,120,1.243843674659729,75.94202898550725,2.5967,17.33,2.311,,,,,
0.9455,15.128337860107422,4.908496732026144e-05,5.0,150,,,,,,,,,,
,,,5.0,150,0.97539883852005,64.6376811594203,3.4935,12.881,1.717,,,,,
0.7672,49.73746871948242,4.712418300653595e-05,6.0,180,,,,,,,,,,
,,,6.0,180,0.8903151750564575,54.05797101449276,2.9021,15.506,2.067,,,,,
0.5307,2.711595058441162,4.516339869281046e-05,7.0,210,,,,,,,,,,
,,,7.0,210,0.8527109026908875,50.72463768115942,2.9382,15.316,2.042,,,,,
0.4365,19.244590759277344,4.320261437908497e-05,8.0,240,,,,,,,,,,
,,,8.0,240,0.8833422064781189,47.2463768115942,2.8503,15.788,2.105,,,,,
0.3446,16.497119903564453,4.124183006535948e-05,9.0,270,,,,,,,,,,
,,,9.0,270,0.8246352076530457,43.333333333333336,2.8981,15.527,2.07,,,,,
0.2674,29.844575881958008,3.9281045751633986e-05,10.0,300,,,,,,,,,,
,,,10.0,300,0.8367697596549988,41.01449275362319,2.6622,16.903,2.254,,,,,
0.2408,12.17690372467041,3.73202614379085e-05,11.0,330,,,,,,,,,,
,,,11.0,330,0.8267316222190857,43.47826086956522,2.8598,15.735,2.098,,,,,
0.1863,16.069820404052734,3.535947712418301e-05,12.0,360,,,,,,,,,,
,,,12.0,360,0.9038862586021423,42.028985507246375,2.9585,15.21,2.028,,,,,
0.1231,11.406943321228027,3.3398692810457516e-05,13.0,390,,,,,,,,,,
,,,13.0,390,0.9547385573387146,39.27536231884058,2.8896,15.573,2.076,,,,,
0.0897,0.9584617614746094,3.1437908496732024e-05,14.0,420,,,,,,,,,,
,,,14.0,420,1.0012969970703125,38.84057971014493,3.2273,13.943,1.859,,,,,
0.0794,0.37028977274894714,2.947712418300654e-05,15.0,450,,,,,,,,,,
,,,15.0,450,0.9838229417800903,39.565217391304344,2.8037,16.05,2.14,,,,,
0.0534,0.3712036907672882,2.751633986928105e-05,16.0,480,,,,,,,,,,
,,,16.0,480,1.0501223802566528,38.84057971014493,2.6038,17.282,2.304,,,,,
0.0388,0.4068795442581177,2.5555555555555554e-05,17.0,510,,,,,,,,,,
,,,17.0,510,1.0254101753234863,37.53623188405797,2.612,17.228,2.297,,,,,
0.0329,4.074290752410889,2.3594771241830065e-05,18.0,540,,,,,,,,,,
,,,18.0,540,1.0596425533294678,38.11594202898551,2.8683,15.689,2.092,,,,,
0.0259,0.07086538523435593,2.1633986928104576e-05,19.0,570,,,,,,,,,,
,,,19.0,570,1.1392186880111694,38.84057971014493,2.9216,15.403,2.054,,,,,
0.0193,1.5972862243652344,1.9673202614379084e-05,20.0,600,,,,,,,,,,
,,,20.0,600,1.1138348579406738,39.130434782608695,2.9012,15.511,2.068,,,,,
0.0125,1.350658893585205,1.7712418300653595e-05,21.0,630,,,,,,,,,,
,,,21.0,630,1.134166955947876,36.811594202898554,2.6008,17.303,2.307,,,,,
0.0086,0.028263822197914124,1.5751633986928106e-05,22.0,660,,,,,,,,,,
,,,22.0,660,1.2019115686416626,36.811594202898554,2.6283,17.121,2.283,,,,,
0.0057,0.1702837198972702,1.3790849673202616e-05,23.0,690,,,,,,,,,,
,,,23.0,690,1.2171497344970703,36.666666666666664,2.6488,16.989,2.265,,,,,
0.004,0.05521904304623604,1.1830065359477125e-05,24.0,720,,,,,,,,,,
,,,24.0,720,1.261094093322754,36.08695652173913,2.9248,15.386,2.051,,,,,
0.0029,0.02535654604434967,9.869281045751634e-06,25.0,750,,,,,,,,,,
,,,25.0,750,1.2749395370483398,36.08695652173913,2.8371,15.861,2.115,,,,,
0.002,0.015064181759953499,7.908496732026144e-06,26.0,780,,,,,,,,,,
,,,26.0,780,1.2784353494644165,36.08695652173913,2.6198,17.177,2.29,,,,,
0.002,0.5523725748062134,5.947712418300653e-06,27.0,810,,,,,,,,,,
,,,27.0,810,1.278113603591919,34.92753623188406,2.8981,15.527,2.07,,,,,
0.0014,0.027153266593813896,3.9869281045751635e-06,28.0,840,,,,,,,,,,
,,,28.0,840,1.2888829708099365,35.07246376811594,2.5602,17.577,2.344,,,,,
0.0012,0.02590836025774479,2.0261437908496734e-06,29.0,870,,,,,,,,,,
,,,29.0,870,1.2917375564575195,35.21739130434783,2.5921,17.36,2.315,,,,,
0.0012,0.009791758842766285,6.5359477124183e-08,30.0,900,,,,,,,,,,
,,,30.0,900,1.2913511991500854,35.07246376811594,2.5937,17.35,2.313,,,,,
,,,30.0,900,,,,,,2987.1354,4.67,0.301,5.88554610982999e+18,0.5446366334292624
