loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_wer,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
4.093,44.196048736572266,1.62e-06,1.0,28,,,,,,,,,,
,,,1.0,28,3.8696541786193848,50.53003533568905,6.7872,3.831,0.589,,,,,
2.095,15.499459266662598,3.3e-06,2.0,56,,,,,,,,,,
,,,2.0,56,2.4433200359344482,48.0565371024735,6.7185,3.87,0.595,,,,,
0.9385,8.964814186096191,4.980000000000001e-06,3.0,84,,,,,,,,,,
,,,3.0,84,1.7668709754943848,41.69611307420495,6.6245,3.925,0.604,,,,,
0.5437,11.665974617004395,6.660000000000001e-06,4.0,112,,,,,,,,,,
,,,4.0,112,1.6387118101119995,40.282685512367486,6.6614,3.903,0.6,,,,,
0.2996,2.5118460655212402,8.340000000000001e-06,5.0,140,,,,,,,,,,
,,,5.0,140,1.629680871963501,42.75618374558304,6.6644,3.901,0.6,,,,,
0.2039,4.932500839233398,1.002e-05,6.0,168,,,,,,,,,,
,,,6.0,168,1.6160324811935425,42.75618374558304,6.8221,3.811,0.586,,,,,
0.1717,11.43350601196289,1.1700000000000001e-05,7.0,196,,,,,,,,,,
,,,7.0,196,1.6271886825561523,42.75618374558304,6.7004,3.88,0.597,,,,,
0.0981,7.884654521942139,1.338e-05,8.0,224,,,,,,,,,,
,,,8.0,224,1.584896445274353,39.57597173144876,6.6794,3.893,0.599,,,,,
0.0516,0.5166275501251221,1.506e-05,9.0,252,,,,,,,,,,
,,,9.0,252,1.6406278610229492,42.75618374558304,6.709,3.875,0.596,,,,,
0.056,3.066157579421997,1.6740000000000002e-05,10.0,280,,,,,,,,,,
,,,10.0,280,1.557880163192749,42.75618374558304,6.7096,3.875,0.596,,,,,
0.0511,0.3422226905822754,1.842e-05,11.0,308,,,,,,,,,,
,,,11.0,308,1.575871467590332,119.43462897526503,9.8569,2.638,0.406,,,,,
0.035,0.41956135630607605,2.01e-05,12.0,336,,,,,,,,,,
,,,12.0,336,1.6129703521728516,42.04946996466431,6.8002,3.823,0.588,,,,,
0.0353,3.1520402431488037,2.178e-05,13.0,364,,,,,,,,,,
,,,13.0,364,1.588654637336731,41.342756183745585,6.756,3.848,0.592,,,,,
0.0239,0.19733130931854248,2.3460000000000002e-05,14.0,392,,,,,,,,,,
,,,14.0,392,1.7091652154922485,45.936395759717314,6.6808,3.892,0.599,,,,,
,,,14.0,392,,,,,,1043.4329,8.415,0.537,1.77364587036672e+18,0.6211679348227929
